GEPARALLELUPS-MIB::upsDiagnostic         1.3.6.1.4.1.818.1.1.10.12
GEPARALLELUPS-MIB::upsDiagnosticBusJACommunicationStatus 1.3.6.1.4.1.818.1.1.10.12.1
GEPARALLELUPS-MIB::upsDiagnosticBusJBCommunicationStatus 1.3.6.1.4.1.818.1.1.10.12.2
GEPARALLELUPS-MIB::upsDiagnosticBatteryLifetime 1.3.6.1.4.1.818.1.1.10.12.3
GEPARALLELUPS-MIB::upsDiagnosticFansLifetime 1.3.6.1.4.1.818.1.1.10.12.4
GEPARALLELUPS-MIB::upsDiagnosticDCcapacitorsLifetime 1.3.6.1.4.1.818.1.1.10.12.5
GEPARALLELUPS-MIB::upsDiagnosticACcapacitorsLifetime 1.3.6.1.4.1.818.1.1.10.12.6
GEPARALLELUPS-MIB::upsDiagnosticGlobalServiceCheck 1.3.6.1.4.1.818.1.1.10.12.7

GEPARALLELUPS-MIB::geFirstUPS            1.3.6.1.4.1.818.1.1.11
GEPARALLELUPS-MIB::upsIdentfirst         1.3.6.1.4.1.818.1.1.11.1
GEPARALLELUPS-MIB::upsIdentManufacturerfirst 1.3.6.1.4.1.818.1.1.11.1.1
GEPARALLELUPS-MIB::upsIdentModelfirst    1.3.6.1.4.1.818.1.1.11.1.2
GEPARALLELUPS-MIB::upsIdentUPSSoftwareVersionfirst 1.3.6.1.4.1.818.1.1.11.1.3
GEPARALLELUPS-MIB::upsIdentAgentSoftwareVersionfirst 1.3.6.1.4.1.818.1.1.11.1.4
GEPARALLELUPS-MIB::upsIdentNamefirst     1.3.6.1.4.1.818.1.1.11.1.5
GEPARALLELUPS-MIB::upsIdentAttachedDevicesfirst 1.3.6.1.4.1.818.1.1.11.1.6
GEPARALLELUPS-MIB::upsIdentUPSSerialNumberfirst 1.3.6.1.4.1.818.1.1.11.1.7
GEPARALLELUPS-MIB::upsIdentComProtVersionfirst 1.3.6.1.4.1.818.1.1.11.1.8
GEPARALLELUPS-MIB::upsIdentOperatingTimefirst 1.3.6.1.4.1.818.1.1.11.1.9
