GESINGLEUPS-MIB::upsTrapAlarmFanFailureRestoredgen 1.3.6.1.4.1.818.1.1.10.11.48
GESINGLEUPS-MIB::upsTrapAlarmFuseFailureRestoredgen 1.3.6.1.4.1.818.1.1.10.11.49
GESINGLEUPS-MIB::upsTrapAlarmGeneralFaultRestoredgen 1.3.6.1.4.1.818.1.1.10.11.50
GESINGLEUPS-MIB::upsTrapAlarmDiagnosticTestFailedRestoredgen 1.3.6.1.4.1.818.1.1.10.11.51
GESINGLEUPS-MIB::upsTrapAlarmCommunicationsLostRestoredgen 1.3.6.1.4.1.818.1.1.10.11.52
GESINGLEUPS-MIB::upsTrapAlarmAwaitingPowerRestoredgen 1.3.6.1.4.1.818.1.1.10.11.53
GESINGLEUPS-MIB::upsTrapAlarmShutdownPendingRestoredgen 1.3.6.1.4.1.818.1.1.10.11.54
GESINGLEUPS-MIB::upsTrapAlarmShutdownImminentRestoredgen 1.3.6.1.4.1.818.1.1.10.11.55
GESINGLEUPS-MIB::upsTrapAlarmTestInProgressRestoredgen 1.3.6.1.4.1.818.1.1.10.11.56
GESINGLEUPS-MIB::upsTrapAlarmReceptacleOn 1.3.6.1.4.1.818.1.1.10.11.57
GESINGLEUPS-MIB::upsTrapAlarmHighspeedBusRestoredgen 1.3.6.1.4.1.818.1.1.10.11.58
GESINGLEUPS-MIB::upsTrapAlarmHighspeedBusJACRCRestoredAgen 1.3.6.1.4.1.818.1.1.10.11.59
GESINGLEUPS-MIB::upsTrapAlarmConnectivityBusRestoredgen 1.3.6.1.4.1.818.1.1.10.11.60
GESINGLEUPS-MIB::upsTrapAlarmHighspeedBusJBCRCRestoredBgen 1.3.6.1.4.1.818.1.1.10.11.61
GESINGLEUPS-MIB::upsTrapAlarmCurrentSharingRestoredgen 1.3.6.1.4.1.818.1.1.10.11.62
GESINGLEUPS-MIB::upsTrapAlarmDCRippleRestoredgen 1.3.6.1.4.1.818.1.1.10.11.63
GESINGLEUPS-MIB::upsTrapAlarmValueLowgen 1.3.6.1.4.1.818.1.1.10.11.129
GESINGLEUPS-MIB::upsTrapAlarmValueHighgen 1.3.6.1.4.1.818.1.1.10.11.130
GESINGLEUPS-MIB::upsTrapAlarmValueLowRestoredgen 1.3.6.1.4.1.818.1.1.10.11.133
GESINGLEUPS-MIB::upsTrapAlarmValueHighRestoredgen 1.3.6.1.4.1.818.1.1.10.11.134
GESINGLEUPS-MIB::upsDiagnosticgen        1.3.6.1.4.1.818.1.1.10.12
GESINGLEUPS-MIB::upsDiagnosticBusJACommunicationStatusgen 1.3.6.1.4.1.818.1.1.10.12.1
GESINGLEUPS-MIB::upsDiagnosticBusJBCommunicationStatusgen 1.3.6.1.4.1.818.1.1.10.12.2
GESINGLEUPS-MIB::upsDiagnosticBatteryLifetimegen 1.3.6.1.4.1.818.1.1.10.12.3
GESINGLEUPS-MIB::upsDiagnosticFansLifetimegen 1.3.6.1.4.1.818.1.1.10.12.4
GESINGLEUPS-MIB::upsDiagnosticDCcapacitorsLifetimegen 1.3.6.1.4.1.818.1.1.10.12.5
GESINGLEUPS-MIB::upsDiagnosticACcapacitorsLifetimegen 1.3.6.1.4.1.818.1.1.10.12.6
GESINGLEUPS-MIB::upsDiagnosticGlobalServiceCheckgen 1.3.6.1.4.1.818.1.1.10.12.7
GESINGLEUPS-MIB::geDevices               1.3.6.1.4.1.818.1.100
GESINGLEUPS-MIB::geDevicesDescriptions   1.3.6.1.4.1.818.1.100.1
GESINGLEUPS-MIB::advSNMPWebIntCard       1.3.6.1.4.1.818.1.100.1.1
GESINGLEUPS-MIB::snmpWebIntCard          1.3.6.1.4.1.818.1.100.1.2
GESINGLEUPS-MIB::snmpWebIntBox           1.3.6.1.4.1.818.1.100.1.3
